year,01,02,03,04,05,06,07,08,09,10,11,12
1950,-1.47,-1.27,-1.11,-1.09,-1.0,-0.71,-0.41,-0.24,-0.22,-0.29,-0.41,-0.56
1951,-0.5,-0.17,0.25,0.6,0.64,0.69,0.68,0.81,0.87,0.98,0.91,0.8
1952,0.58,0.44,0.42,0.44,0.31,0.07,-0.04,0.03,0.13,0.01,-0.01,0.2
1953,0.53,0.76,0.77,0.83,0.84,0.79,0.67,0.66,0.7,0.77,0.81,0.93
1954,0.99,0.73,0.14,-0.2,-0.34,-0.26,-0.49,-0.74,-0.85,-0.7,-0.56,-0.41
1955,-0.38,-0.32,-0.35,-0.39,-0.37,-0.36,-0.44,-0.61,-1.02,-1.43,-1.63,-1.27
1956,-0.75,-0.32,-0.2,-0.06,-0.05,-0.08,-0.28,-0.32,-0.31,-0.33,-0.37,-0.25
1957,0.04,0.41,0.73,0.97,1.1,1.18,1.23,1.26,1.23,1.31,1.52,1.87
1958,2.02,1.88,1.4,1.07,0.83,0.68,0.49,0.26,0.18,0.25,0.39,0.68
1959,0.77,0.84,0.66,0.44,0.25,-0.06,-0.23,-0.4,-0.29,-0.26,-0.11,-0.02
1960,0.03,0.04,0.0,0.08,0.06,0.04,0.11,0.17,0.17,0.07,0.01,0.02
1961,0.05,0.06,0.03,0.1,0.26,0.34,0.2,-0.09,-0.32,-0.31,-0.24,-0.12
1962,-0.13,-0.09,-0.11,-0.22,-0.26,-0.21,-0.11,-0.18,-0.25,-0.4,-0.46,-0.5
1963,-0.38,-0.1,0.17,0.24,0.23,0.41,0.73,0.99,1.04,1.1,1.22,1.25
1964,1.13,0.68,0.1,-0.37,-0.63,-0.59,-0.59,-0.62,-0.72,-0.76,-0.7,-0.51
1965,-0.25,0.07,0.15,0.37,0.62,1.03,1.38,1.67,1.94,2.03,2.04,1.9
1966,1.65,1.52,1.26,0.87,0.46,0.29,0.27,0.13,-0.02,-0.07,-0.12,-0.17
1967,-0.17,-0.2,-0.39,-0.4,-0.19,0.18,0.3,0.1,-0.02,-0.08,0.01,-0.02
1968,-0.21,-0.33,-0.31,-0.19,0.16,0.45,0.69,0.58,0.45,0.55,0.77,1.06
1969,1.24,1.13,0.85,0.54,0.35,0.23,0.23,0.43,0.72,0.78,0.74,0.57
1970,0.51,0.31,0.25,0.11,0.01,-0.29,-0.58,-0.69,-0.69,-0.63,-0.7,-0.91
1971,-1.03,-1.02,-0.83,-0.6,-0.48,-0.41,-0.44,-0.44,-0.47,-0.48,-0.52,-0.47
1972,-0.31,0.02,0.41,0.77,0.94,1.12,1.27,1.49,1.7,1.96,2.21,2.27
1973,2.02,1.4,0.56,-0.25,-0.76,-1.06,-1.24,-1.4,-1.54,-1.8,-1.95,-1.88
1974,-1.54,-1.19,-0.95,-0.86,-0.79,-0.64,-0.37,-0.19,-0.18,-0.36,-0.45,-0.25
1975,-0.08,-0.13,-0.32,-0.47,-0.61,-0.78,-0.91,-0.94,-1.05,-1.03,-1.08,-1.12
1976,-1.03,-0.65,-0.3,-0.11,0.0,0.23,0.46,0.67,0.94,1.1,1.13,1.13
1977,1.01,0.93,0.52,0.31,0.19,0.35,0.42,0.58,0.78,0.97,1.09,1.05
1978,0.94,0.6,0.13,-0.18,-0.36,-0.29,-0.32,-0.28,-0.2,-0.05,0.15,0.17
1979,0.17,0.15,0.21,0.2,0.08,-0.08,-0.02,0.2,0.39,0.49,0.54,0.66
1980,0.64,0.47,0.27,0.21,0.31,0.33,0.19,0.01,-0.04,0.06,0.2,0.17
1981,0.01,-0.27,-0.34,-0.34,-0.26,-0.3,-0.26,-0.18,-0.12,-0.16,-0.19,0.01
1982,0.14,0.33,0.4,0.64,0.77,0.82,0.92,1.25,1.81,2.21,2.43,2.52
1983,2.49,2.2,1.71,1.37,1.0,0.57,0.1,-0.24,-0.59,-0.94,-1.14,-0.96
1984,-0.54,-0.35,-0.35,-0.52,-0.57,-0.43,-0.23,-0.07,-0.15,-0.51,-0.83,-1.0
1985,-0.82,-0.6,-0.61,-0.69,-0.72,-0.54,-0.36,-0.31,-0.22,-0.18,-0.09,-0.17
1986,-0.34,-0.33,-0.21,-0.12,-0.1,-0.06,0.26,0.58,0.91,1.15,1.36,1.49
1987,1.56,1.48,1.26,0.97,0.89,1.05,1.34,1.55,1.48,1.27,1.02,0.92
1988,0.65,0.3,-0.21,-0.75,-1.37,-1.75,-1.64,-1.32,-1.36,-1.63,-1.94,-1.92
1989,-1.7,-1.42,-1.1,-0.85,-0.6,-0.43,-0.35,-0.3,-0.24,-0.22,-0.15,0.03
1990,0.24,0.29,0.27,0.25,0.21,0.22,0.27,0.37,0.4,0.35,0.39,0.5
1991,0.6,0.5,0.4,0.35,0.5,0.67,0.81,0.8,0.91,1.17,1.7,2.08
1992,2.32,2.24,2.04,1.73,1.35,0.9,0.54,0.32,0.15,0.07,0.08,0.26
1993,0.5,0.69,0.87,0.97,0.9,0.72,0.49,0.51,0.46,0.36,0.28,0.27
1994,0.32,0.33,0.43,0.54,0.64,0.64,0.74,0.81,0.95,1.11,1.34,1.43
1995,1.27,0.95,0.68,0.37,0.1,-0.13,-0.32,-0.53,-0.74,-0.91,-0.95,-0.94
1996,-0.87,-0.77,-0.62,-0.39,-0.3,-0.29,-0.24,-0.24,-0.23,-0.27,-0.3,-0.29
1997,-0.25,-0.1,0.17,0.52,0.95,1.34,1.69,2.01,2.25,2.38,2.36,2.34
1998,2.16,1.82,1.25,0.77,0.14,-0.5,-1.17,-1.41,-1.52,-1.52,-1.63,-1.65
1999,-1.55,-1.28,-1.09,-1.0,-1.01,-0.99,-0.99,-0.96,-0.97,-1.11,-1.38,-1.62
2000,-1.67,-1.4,-1.09,-0.78,-0.63,-0.5,-0.38,-0.37,-0.45,-0.58,-0.69,-0.68
2001,-0.63,-0.55,-0.53,-0.46,-0.34,-0.13,-0.01,0.0,-0.05,-0.17,-0.25,-0.27
2002,-0.14,-0.03,0.01,0.11,0.37,0.66,0.9,1.08,1.26,1.44,1.47,1.19
2003,0.85,0.49,0.22,-0.23,-0.43,-0.29,0.01,0.16,0.19,0.22,0.32,0.29
2004,0.25,0.14,0.11,0.16,0.25,0.45,0.66,0.82,0.86,0.77,0.73,0.67
2005,0.55,0.43,0.31,0.31,0.2,0.03,-0.1,-0.12,-0.02,-0.18,-0.5,-0.85
2006,-0.93,-0.88,-0.65,-0.42,-0.14,-0.03,0.11,0.31,0.54,0.75,0.94,0.92
2007,0.6,0.16,-0.18,-0.36,-0.44,-0.53,-0.59,-0.81,-1.05,-1.29,-1.41,-1.51
2008,-1.6,-1.49,-1.26,-0.95,-0.76,-0.5,-0.29,-0.21,-0.28,-0.4,-0.6,-0.79
2009,-0.9,-0.85,-0.67,-0.42,-0.11,0.13,0.25,0.39,0.56,0.94,1.34,1.56
2010,1.45,1.11,0.64,0.05,-0.53,-0.99,-1.28,-1.51,-1.68,-1.74,-1.72,-1.63
2011,-1.43,-1.19,-0.92,-0.69,-0.48,-0.34,-0.38,-0.51,-0.74,-0.94,-1.05,-0.99
2012,-0.82,-0.65,-0.56,-0.47,-0.27,0.03,0.34,0.43,0.4,0.23,-0.06,-0.38
2013,-0.63,-0.6,-0.5,-0.43,-0.44,-0.43,-0.38,-0.32,-0.28,-0.22,-0.22,-0.33
2014,-0.49,-0.53,-0.33,-0.05,0.07,-0.01,-0.13,-0.09,0.08,0.36,0.52,0.56
2015,0.45,0.38,0.45,0.61,0.82,1.03,1.33,1.64,1.93,2.18,2.34,2.37
2016,2.22,1.84,1.28,0.54,-0.06,-0.56,-0.86,-1.0,-1.07,-1.11,-1.08,-0.99
2017,-0.74,-0.54,-0.27,-0.09,0.05,0.05,-0.17,-0.46,-0.73,-0.99,-1.15,-1.26
2018,-1.12,-1.04,-0.88,-0.67,-0.31,-0.04,0.05,0.16,0.4,0.65,0.77,0.67
2019,0.62,0.62,0.6,0.52,0.34,0.21,0.03,-0.1,-0.03,0.12,0.23,0.2
2020,0.11,0.08,-0.03,-0.28,-0.56,-0.76,-0.81,-0.93,-1.23,-1.47,-1.54,-1.37
2021,-1.18,-1.04,-0.98,-0.79,-0.61,-0.52,-0.59,-0.72,-0.92,-1.06,-1.23,-1.24
2022,-1.22,-1.22,-1.28,-1.34,-1.22,-0.99,-0.91,-1.01,-1.14,-1.12,-1.05,-0.97
2023,-0.83,-0.62,-0.44,-0.21,0.07,0.37,0.62,0.85,1.1,1.35,1.49,1.45
2024,1.2,0.85,0.49,0.05,-0.26,-0.46,-0.51,-0.64,-0.76,-0.82,-0.94,-1.08
2025,-1.13,-0.9,-0.67,-0.52,-0.49,-0.43,-0.47,-0.63,-0.77,-0.87,-0.93,-0.97
